" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"37092 CASTELLANOS DE MORISCOS",          33,     1336.98,           .,     1261.83,       73.64,     1335.47,      28.752,           .,           .,           .,           .,
,"37096 CASTILLEJO DE MARTIN VIEJO",          59,    13171.96,           .,    11836.08,        0.09,    11836.17,     6481.32,           .,           .,           .,           .,
,"37097 CASTRAZ",          14,     3372.95,           .,     3201.61,       22.34,     3223.95,    4084.068,           .,           .,           .,           .,
,"37098 CEPEDA",          33,      204.05,           .,       52.08,         2.9,       54.98,         1.1,           .,           .,           .,           .,
,"37099 CERECEDA DE LA SIERRA",          18,       644.2,           .,      600.39,        0.09,      600.48,     191.949,           .,           .,           .,           .,
,"37100 CEREZAL DE PEÑAHORCADA",          22,     1025.01,           .,      934.83,        0.07,       934.9,      385.94,           .,           .,           .,           .,
,"37101 CERRALBO",          49,     3042.41,           .,     2871.16,        1.54,      2872.7,    1996.076,           .,           .,           .,           .,
,"37102 CERRO (EL)",          70,     1911.06,           .,     1668.29,       30.73,     1699.02,    1430.112,           .,           .,           .,           .,
,"37103 CESPEDOSA DE TORMES",          87,     3523.31,           .,     3250.05,       50.89,     3300.94,    2826.143,           .,           .,           .,           .,
,"37104 CILLEROS DE LA BASTIDA",           9,     1187.17,           .,      906.94,        0.86,       907.8,     173.181,           .,           .,           .,           .,
,"37106 CIPEREZ",          66,     8254.77,           .,     7743.71,        0.32,     7744.03,    5118.485,           .,           .,           .,           .,
,"37107 CIUDAD RODRIGO",         307,    21677.36,           .,    19968.93,      597.64,    20566.57,   12920.196,           .,           .,           .,           .,
,"37108 COCA DE ALBA",          26,      905.08,           .,      801.22,       101.8,      903.02,      57.226,           .,           .,           .,           .,
,"37109 COLMENAR DE MONTEMAYOR",          43,     3419.14,           .,     1972.27,        0.78,     1973.05,      976.09,           .,           .,           .,           .,
,"37110 CORDOVILLA",          27,     1170.82,           .,       575.4,      592.25,     1167.65,           .,           .,           .,           .,           .,
,"37112 CRISTOBAL",          24,      827.79,           .,      786.15,        0.19,      786.34,     533.712,           .,           .,           .,           .,
,"37113 CUBO DE DON SANCHO (EL)",          56,     7966.17,           .,     7585.07,        2.23,      7587.3,    5585.798,           .,           .,           .,           .,
,"37114 CHAGARCIA MEDIANERO",          16,     1345.67,           .,     1312.94,        0.07,     1313.01,    1768.648,           .,           .,           .,           .,
,"37115 DIOS LE GUARDE",          23,     1400.93,           .,        1299,       12.48,     1311.48,     501.635,           .,           .,           .,           .,
,"37116 DOÑINOS DE LEDESMA",          23,     3401.66,           .,      3241.2,        0.01,     3241.21,    1997.074,           .,           .,           .,           .,
,"37117 DOÑINOS DE SALAMANCA",          17,     1150.78,           .,     1033.69,      108.45,     1142.14,       29.13,           .,           .,           .,           .,
,"37118 EJEME",          38,     1091.76,           .,      838.67,      229.85,     1068.52,     569.104,           .,           .,           .,           .,
,"37119 ENCINA (LA)",          28,     2817.55,           .,     2558.35,        0.03,     2558.38,    1573.151,           .,           .,           .,           .,
,"37120 ENCINA DE SAN SILVESTRE",          17,     1445.23,           .,     1381.07,           .,     1381.07,    1358.644,           .,           .,           .,           .,
,"37121 ENCINAS DE ABAJO",          51,     1848.94,           .,      548.48,     1278.92,      1827.4,        67.9,           .,           .,           .,           .,
,"37122 ENCINAS DE ARRIBA",          35,      748.98,           .,      481.31,      215.93,      697.24,      899.79,           .,           .,           .,           .,
,"37123 ENCINASOLA DE LOS COMENDADORES",          40,     2662.14,           .,      2522.8,        0.18,     2522.98,    1552.385,           .,           .,           .,           .,
,"37124 ENDRINAL",          37,     2899.87,           .,     2727.25,        5.17,     2732.42,     1767.94,           .,           .,           .,           .,
,"37125 ESCURIAL DE LA SIERRA",          51,     2070.94,           .,     1896.21,        2.13,     1898.34,     602.727,           .,           .,           .,           .,
,"37126 ESPADAÑA",          19,     3221.12,           .,     3091.68,        0.11,     3091.79,    1562.852,           .,           .,           .,           .,
,"37127 ESPEJA",          43,     8574.97,           .,     7864.14,       25.07,     7889.21,     3679.39,           .,           .,           .,           .,
,"37128 ESPINO DE LA ORBADA",          47,     2276.15,           .,     2113.97,      149.48,     2263.45,     192.188,           .,           .,           .,           .,
,"37129 FLORIDA DE LIEBANA",          39,     1763.53,           .,     1170.39,      512.92,     1683.31,     357.725,           .,           .,           .,           .,
,"37130 FORFOLEDA",          44,     3803.89,           .,     3563.08,      165.26,     3728.34,    1427.052,           .,           .,           .,           .,
,"37131 FRADES DE LA SIERRA",          34,     2309.37,           .,     2136.03,       26.99,     2163.02,    1741.528,           .,           .,           .,           .,
,"37132 FREGENEDA (LA)",          76,      2598.8,           .,     2354.89,         0.3,     2355.19,     485.025,           .,           .,           .,           .,
,"37133 FRESNEDOSO",          25,      336.56,           .,      285.36,        4.65,      290.01,     189.209,           .,           .,           .,           .,
,"37134 FRESNO ALHANDIGA",          21,      997.73,           .,      739.86,      211.41,      951.27,       582.4,           .,           .,           .,           .,
,"37135 FUENTE DE SAN ESTEBAN (LA)",          52,     6302.73,           .,     6029.18,       19.19,     6048.37,    3627.128,           .,           .,           .,           .,
,"37136 FUENTEGUINALDO",          78,     6574.92,           .,     6260.04,        0.15,     6260.19,    4437.777,           .,           .,           .,           .,
,"37137 FUENTELIANTE",          48,     4751.09,           .,     4478.95,       80.06,     4559.01,      3125.3,           .,           .,           .,           .,
,"37138 FUENTERROBLE DE SALVATIERRA",          37,     1944.79,           .,     1801.77,        7.45,     1809.22,    1060.952,           .,           .,           .,           .,
,"37139 FUENTES DE BEJAR",          15,      694.01,           .,      639.05,        0.07,      639.12,       482.7,           .,           .,           .,           .,
,"37140 FUENTES DE OÑORO",          45,     5371.54,           .,     4939.53,       11.22,     4950.75,      2875.1,           .,           .,           .,           .,
,"37141 GAJATES",          38,     1836.28,           .,     1699.38,       93.09,     1792.47,         885,           .,           .,           .,           .,
,"37142 GALINDO Y PERAHUY",          33,     3846.42,           .,     3649.93,        96.3,     3746.23,    2010.846,           .,           .,           .,           .,
,"37143 GALINDUSTE",          45,     2990.53,           .,     2822.09,       66.42,     2888.51,    2266.968,           .,           .,           .,           .,
,"37144 GALISANCHO",          67,        2092,           .,     1534.23,      465.98,     2000.21,    3641.659,           .,           .,           .,           .,
,"37145 GALLEGOS DE ARGAÑAN",          43,     4246.35,           .,     3962.54,        0.82,     3963.36,    2192.916,           .,           .,           .,           .,
,"37146 GALLEGOS DE SOLMIRON",          24,     1711.23,           .,     1668.93,        0.01,     1668.94,     771.475,           .,           .,           .,           .,
,"37147 GARCIBUEY",          59,      736.26,           .,      612.92,        9.28,       622.2,         0.6,           .,           .,           .,           .,
,"37148 GARCIHERNANDEZ",          83,     4557.99,           .,     3270.01,     1195.66,     4465.67,    3530.848,           .,           .,           .,           .,
,"37149 GARCIRREY",          40,     7843.47,           .,     7314.73,        7.02,     7321.75,    5495.372,           .,           .,           .,           .,
,"37150 GEJUELO DEL BARRO",          15,      4123.9,           .,     3902.53,       25.58,     3928.11,    2401.414,           .,           .,           .,           .,
,"37151 GOLPEJAS",          18,      807.45,           .,      790.42,        1.28,       791.7,     967.625,           .,           .,           .,           .,
,"37152 GOMECELLO",          61,     2032.88,           .,     1874.44,      153.08,     2027.52,      357.92,           .,           .,           .,           .,
,"37154 GUADRAMIRO",          34,     2484.49,           .,     2377.29,        0.04,     2377.33,    1414.143,           .,           .,           .,           .,
,"37155 GUIJO DE AVILA",          14,      626.45,           .,      590.14,           .,      590.14,      451.18,           .,           .,           .,           .,
